unique_id,service_request_id,service_category,service_type
f1042358-02b1-4780-bb19-152d47a1782d,6,Category 2,Basic Maintenance of Internal Connections
88bbda21-ad02-4c51-ae5d-4c42eede7a1d,7,Category 2,Internal Connections
c4fbd9a4-5d8b-4418-9115-903bcb5ac55f,8,Category 2,Basic Maintenance of Internal Connections
a1b6374c-886a-4ffc-9081-c643778daab9,9,Category 2,Internal Connections
6457fc83-14c5-41ac-b106-43576eb9eba9,1,Category 2,Managed Internal Broadband Services
d58d1631-d45f-4ad0-a622-6804f203d78f,10,Category 2,Basic Maintenance of Internal Connections
4f2c1193-ed95-4996-9d1c-3b0ffa8f9c3b,11,Category 2,Internal Connections
00f2e733-faa9-443d-aed2-6d558eb67861,12,Category 2,Basic Maintenance of Internal Connections
f4d60715-db45-4525-9f6f-218c199854c7,1,Category 2,Internal Connections
16703a57-4ec3-4415-aaf0-21567fb6f0a4,2,Category 2,Basic Maintenance of Internal Connections
8896a620-da85-4b70-89ad-377376ada16c,3,Category 2,Internal Connections
7b943e3c-c54d-420d-b183-558da9c8c3b9,4,Category 2,Basic Maintenance of Internal Connections
9c43489e-fdb2-4dfb-9fd1-2816b5374a08,5,Category 2,Internal Connections
3d76f14a-4b8f-4fbc-abeb-dfcc0051eecd,6,Category 2,Basic Maintenance of Internal Connections
e9a1bebf-1c87-4cec-ae2c-0a2c6b843eed,7,Category 2,Managed Internal Broadband Services
79197df6-3257-4fdf-9fa2-057630912414,1,Category 2,Internal Connections
f235f9a4-bb21-4232-b4e5-4908317bd4ce,2,Category 2,Basic Maintenance of Internal Connections
377d89bd-73a6-4cf3-88be-6b6cf10cdc30,3,Category 2,Managed Internal Broadband Services
219d251b-0a0b-4934-ae82-192d87bf5731,4,Category 2,Managed Internal Broadband Services
39d8b646-e7b8-4175-b363-e87859d77c2b,1,Category 1,Data Transmission and/or Internet Access
05e0a0c9-4f4e-4e27-9861-89b92cf75bd7,1,Category 2,Managed Internal Broadband Services
27906641-9e44-478e-986a-f180285d218c,2,Category 2,Basic Maintenance of Internal Connections
66e17dbe-c827-4ef5-badd-bae3e9c366ff,3,Category 2,Basic Maintenance of Internal Connections
ff4c85ee-284c-4211-bdfb-da362343eac0,4,Category 2,Basic Maintenance of Internal Connections
d48ed9ae-3486-48e6-a6d9-75c3cf9c4623,1,Category 2,Internal Connections
484c0d3f-99fe-43bc-8c49-a08b847e95a8,1,Category 2,Internal Connections
23979b21-e978-4ec8-8d90-0d4224d56299,1,Category 2,Internal Connections
ca516879-af45-48d8-a395-89ce3091ec3a,1,Category 2,Internal Connections
6a8f8fd7-5618-4829-81b5-1dac8f42b042,1,Category 2,Internal Connections
09d5bbdc-4c42-49db-82cc-874139c39076,1,Category 2,Internal Connections
e2f8f6f9-18f2-4535-bf16-4cc45693c681,1,Category 2,Internal Connections
a8a2126d-d1a0-47a9-a5a6-f8b578882ad5,1,Category 2,Internal Connections
59ed2137-6f41-40a2-96df-1dbc3450579a,1,Category 2,Internal Connections
f13f4c50-c776-4a2a-919b-c280889955f7,2,Category 2,Internal Connections
a243a110-74d4-4c49-9196-43d970044a46,2,Category 2,Internal Connections
932f5f78-f291-437e-b1a9-c8d89277bb9c,2,Category 2,Internal Connections
f9855184-9023-4656-96fc-c6ebcf0a2a44,2,Category 2,Internal Connections
45ff48de-8103-4060-acb7-2d9bb2d248f8,2,Category 2,Internal Connections
64fecd38-3281-4037-8d3c-5cdf15567aba,2,Category 2,Internal Connections
57bc09aa-3177-4967-b647-6a0bf01c66cd,2,Category 2,Internal Connections
c39e1187-a989-4f9e-82b5-77ce34497c2c,2,Category 2,Internal Connections
6e2d3f5d-fcbe-4777-9e77-fcf549479092,2,Category 2,Internal Connections
