unique_id,service_request_id,service_category,service_type
8003c208-f220-4c8b-b92e-90e73bfb968e,1,Category 2,Managed Internal Broadband Services
48ac3681-742c-4e69-bc7e-5781634b1318,1,Category 1,Data Transmission and/or Internet Access
b495ed23-4f38-4808-8ed7-f6ceff548202,1,Category 1,Data Transmission and/or Internet Access
92113af8-72c1-4d7b-a18c-aa5e49a3c6ea,1,Category 2,Basic Maintenance of Internal Connections
6e2cf99b-fa7f-43c9-ba99-1d54a68aa96e,1,Category 2,Managed Internal Broadband Services
56f45bc3-76bc-4efb-a165-a860bb41c8a4,1,Category 1,Data Transmission and/or Internet Access
439e572e-df22-4619-9936-11e69e402d0e,1,Category 2,Basic Maintenance of Internal Connections
2956b365-67d1-4ecf-a012-7f0fbeaacdf2,1,Category 1,Data Transmission and/or Internet Access
ee183aaf-9495-4f22-a33e-25bc153388d3,9,Category 2,Internal Connections
d20c166c-34aa-40f9-929c-8262d71a14c9,1,Category 1,Data Transmission and/or Internet Access
6dc0e779-3f8f-4ea7-91ac-4b33c41bf02b,1,Category 2,Basic Maintenance of Internal Connections
d5a298e2-d73e-436c-9f2d-f52feddb4400,1,Category 1,Data Transmission and/or Internet Access
1e3bbdf2-4798-43b7-a7a3-5b7a66c680a3,1,Category 2,Internal Connections
925306c5-39f5-46c0-a1d8-9bc82c5815d7,1,Category 1,Data Transmission and/or Internet Access
289e0976-01a6-42d2-9075-7fd7e302390b,1,Category 1,Data Transmission and/or Internet Access
f200ab35-b5f9-46b6-964e-8bc0063d7bc7,1,Category 2,Managed Internal Broadband Services
d6d84b1e-fff4-45fe-b7e5-ed4b08bfa6c0,1,Category 1,Data Transmission and/or Internet Access
0f99e863-7adc-4daa-a2f0-f52606d44c49,1,Category 1,Data Transmission and/or Internet Access
d903b9ab-2a2f-4965-8ce5-5e05ac00757b,6,Category 2,Internal Connections
855d9360-f08f-4fdb-a1c0-eaa61969716b,1,Category 1,Data Transmission and/or Internet Access
8285c89a-f926-44d4-97f5-6226d7eee97a,1,Category 1,Data Transmission and/or Internet Access
dbfa0781-aa69-457a-a637-47980eafb150,1,Category 2,Managed Internal Broadband Services
00724923-2b12-4702-a151-eda559037332,1,Category 2,Internal Connections
325d864f-de84-4001-be1d-a7b2e3d281aa,1,Category 1,Data Transmission and/or Internet Access
8eb48aab-95a2-4de1-a217-91ab10988caf,1,Category 1,Data Transmission and/or Internet Access
b405d9ac-7958-43de-be84-088b2f28bb25,1,Category 2,Internal Connections
49fcf14f-b0f8-4629-8b03-a6ac6985ee2c,1,Category 2,Internal Connections
5b9de49d-ade0-4be1-a8fa-c22cb2e362ee,1,Category 1,Data Transmission and/or Internet Access
802fc743-6c5e-4677-8c4a-39ec34a288e6,1,Category 2,Managed Internal Broadband Services
42471e4c-57af-4da7-9ed4-2a2ac619ea08,1,Category 1,Data Transmission and/or Internet Access
a3891e17-bad6-4f5f-a2a7-f00e820f4518,1,Category 1,Data Transmission and/or Internet Access
1496e0f3-a6b0-4aa6-a3d1-1da96b130734,1,Category 2,Internal Connections
aef2beef-7526-4993-9eb0-8794736f54a8,1,Category 2,Managed Internal Broadband Services
29d076d5-bad6-4a20-9369-486b3defc95c,2,Category 2,Basic Maintenance of Internal Connections
11982268-5c78-4e49-9462-ed8c1b1e7aad,1,Category 2,Internal Connections
9ed0872b-0c98-43bd-a6bc-70a2b4a95e9b,1,Category 2,Internal Connections
ad97737b-7421-4e40-8334-f58ed97f76a8,1,Category 2,Internal Connections
961f203f-1ff4-4248-9989-6af352596ee5,1,Category 2,Internal Connections
